NOISE NUISANCE,00 BLOCK MCALLISTER ST,5/15/2012 04:04 AM
NOISE NUISANCE,600 BLOCK CLEMENT ST,5/15/2012 03:09 AM
ASSAULT/BATTERY,BROADWAY  & KEARNY ST,5/15/2012 02:33 AM
ASSAULT/BATTERY,BUSH ST & GRANT AV,5/15/2012 02:23 AM
NOISE NUISANCE,POST ST & LARKIN ST,5/15/2012 01:34 AM
NOISE NUISANCE,POWELL ST & GEARY ST,5/15/2012 01:16 AM
NOISE NUISANCE,300 BLOCK POWELL ST,5/15/2012 01:10 AM
SOLICITING PROS,PINE ST & LARKIN ST,5/15/2012 01:09 AM
ROBBERY,300 BLOCK MASON ST,5/15/2012 12:54 AM
NOISE NUISANCE,1000 BLOCK TURK ST,5/15/2012 12:52 AM
AUTO BOOST/STRIP,VALLEJO ST & LEAVENWORTH ST,5/15/2012 12:50 AM
VANDALISM,500 BLOCK 3RD ST,5/15/2012 12:33 AM
ROBBERY,1000 BLOCK MARKET ST,5/15/2012 12:31 AM
NOISE NUISANCE,2ND ST & FOLSOM ST,5/15/2012 12:24 AM
AUTO BOOST/STRIP,WASHINGTON ST & BATTERY ST,5/15/2012 12:03 AM
ASSAULT/BATTERY,1300 BLOCK STOCKTON ST,5/14/2012 11:45 PM
BURGLARY,3500 BLOCK CLAY ST,5/14/2012 11:30 PM
AUTO BOOST/STRIP,WASHINGTON ST & BATTERY ST,5/14/2012 11:15 PM
BURGLARY,3000 BLOCK PINE ST,5/14/2012 10:57 PM
NOISE NUISANCE,KEARNY ST & COMMERCIAL ST,5/14/2012 10:29 PM
BURGLARY,00 BLOCK NEW MONTGOMERY ST,5/14/2012 10:26 PM
NOISE NUISANCE,500 BLOCK COLUMBUS AV,5/14/2012 10:25 PM
NOISE NUISANCE,GEARY ST & POWELL ST,5/14/2012 10:09 PM
AUTO BOOST/STRIP,PIERCE ST & CHESTNUT ST,5/14/2012 09:26 PM
PETTY THEFT,LARKIN ST & TURK ST,5/14/2012 09:17 PM
NOISE NUISANCE,COLUMBUS AV & GREEN ST,5/14/2012 09:07 PM
ASSAULT/BATTERY,400 BLOCK ELLIS ST,5/14/2012 08:58 PM
PERSON W/KNIFE,600 BLOCK STOCKTON ST,5/14/2012 08:57 PM
ASSAULT/BATTERY,800 BLOCK GEARY ST,5/14/2012 08:37 PM
NOISE NUISANCE,300 BLOCK HYDE ST,5/14/2012 08:29 PM
STOLEN VEHICLE,SUTTER ST & BRODERICK ST,5/14/2012 08:20 PM
PETTY THEFT,1700 BLOCK POLK ST,5/14/2012 08:19 PM
PETTY THEFT,900 BLOCK MARKET ST,5/14/2012 08:14 PM
NOISE NUISANCE,500 BLOCK OFARRELL ST,5/14/2012 08:10 PM
PETTY THEFT,1000 BLOCK TURK ST,5/14/2012 07:46 PM
AUTO BOOST/STRIP,1000 BLOCK TURK ST,5/14/2012 07:16 PM
VANDALISM,CALIFORNIA ST & VAN NESS AV,5/14/2012 07:08 PM
ROBBERY,800 BLOCK MARKET ST,5/14/2012 06:42 PM
ASSAULT/BATTERY,MARKET ST & TURK ST,5/14/2012 06:25 PM
ASSAULT/BATTERY,900 BLOCK MARKET ST,5/14/2012 06:24 PM
DRUNK DRIVER,SACRAMENTO ST & VAN NESS AV,5/14/2012 06:22 PM
VANDALISM,1700 BLOCK TAYLOR ST,5/14/2012 06:21 PM
NOISE NUISANCE,300 BLOCK EDDY ST,5/14/2012 06:19 PM
PETTY THEFT,500 BLOCK BROADWAY,5/14/2012 06:06 PM
SEXUAL ASSAULT,00 BLOCK PERRY ST,5/14/2012 05:59 PM
STOLEN VEHICLE,2100 BLOCK CALIFORNIA ST,5/14/2012 05:29 PM
AGGR ASSAULT/ADW,1000 BLOCK POLK ST,5/14/2012 05:26 PM
PETTY THEFT,100 BLOCK 4TH ST,5/14/2012 05:05 PM
STOLEN VEHICLE,1600 BLOCK GREENWICH ST,5/14/2012 05:03 PM
ASSAULT/BATTERY,2500 BLOCK CALIFORNIA ST,5/14/2012 04:47 PM
PETTY THEFT,LAGUNA ST & UNION ST,5/14/2012 04:44 PM
FRAUD,VAN NESS AV & CALIFORNIA ST,5/14/2012 04:42 PM
VANDALISM,100 BLOCK TAYLOR ST,5/14/2012 04:33 PM
BURGLARY,900 BLOCK MARKET ST,5/14/2012 04:24 PM
PERSON W/KNIFE,1300 BLOCK CALIFORNIA ST,5/14/2012 04:17 PM
PETTY THEFT,2100 BLOCK FILLMORE ST,5/14/2012 03:51 PM
PETTY THEFT,2100 BLOCK UNION ST,5/14/2012 03:41 PM
